_time,_value,_measurement,sensor_name
2023-11-08 12:19:56.524983+01:00,0.0,PC,cpu0
2023-11-08 12:20:02.528171+01:00,0.0,PC,cpu0
2023-11-08 12:20:08.530778+01:00,0.0,PC,cpu0
2023-11-08 12:20:14.535177+01:00,0.0,PC,cpu0
2023-11-08 12:20:20.540435+01:00,0.0,PC,cpu0
2023-11-08 12:20:26.537043+01:00,0.0,PC,cpu0
2023-11-08 12:20:32.545774+01:00,0.0,PC,cpu0
2023-11-08 12:20:38.541759+01:00,0.0,PC,cpu0
2023-11-08 12:20:44.543908+01:00,0.0,PC,cpu0
2023-11-08 12:20:50.549912+01:00,0.0,PC,cpu0
2023-11-08 12:20:56.550104+01:00,1.5,PC,cpu0
2023-11-08 12:21:02.553124+01:00,0.0,PC,cpu0
2023-11-08 12:21:08.553572+01:00,0.0,PC,cpu0
2023-11-08 12:21:14.554191+01:00,0.0,PC,cpu0
2023-11-08 12:21:20.555513+01:00,0.0,PC,cpu0
2023-11-08 12:21:26.557342+01:00,0.0,PC,cpu0
2023-11-08 12:21:32.558180+01:00,0.0,PC,cpu0
2023-11-08 12:21:38.559816+01:00,0.0,PC,cpu0
2023-11-08 12:21:44.560778+01:00,0.0,PC,cpu0
2023-11-08 12:21:50.562239+01:00,0.0,PC,cpu0
2023-11-08 12:21:56.563190+01:00,1.6,PC,cpu0
2023-11-08 12:22:02.564131+01:00,0.0,PC,cpu0
2023-11-08 12:22:08.573321+01:00,3.1,PC,cpu0
2023-11-08 12:22:14.574183+01:00,0.0,PC,cpu0
2023-11-08 12:22:20.574714+01:00,1.6,PC,cpu0
2023-11-08 12:22:26.580338+01:00,0.0,PC,cpu0
2023-11-08 12:22:32.583949+01:00,6.2,PC,cpu0
2023-11-08 12:22:38.589572+01:00,0.0,PC,cpu0
2023-11-08 12:22:44.590886+01:00,7.8,PC,cpu0
2023-11-08 12:22:50.590978+01:00,0.0,PC,cpu0
2023-11-08 12:22:56.596957+01:00,0.0,PC,cpu0
2023-11-08 12:23:02.599147+01:00,0.0,PC,cpu0
2023-11-08 12:23:08.656414+01:00,3.1,PC,cpu0
2023-11-08 12:23:14.607357+01:00,0.0,PC,cpu0
2023-11-08 12:23:20.646266+01:00,0.0,PC,cpu0
2023-11-08 12:23:26.612762+01:00,0.0,PC,cpu0
2023-11-08 12:23:32.616255+01:00,0.0,PC,cpu0
2023-11-08 12:23:38.613886+01:00,3.1,PC,cpu0
2023-11-08 12:23:44.615504+01:00,1.6,PC,cpu0
2023-11-08 12:23:50.621498+01:00,1.6,PC,cpu0
2023-11-08 12:23:56.622496+01:00,0.0,PC,cpu0
2023-11-08 12:24:02.623344+01:00,3.1,PC,cpu0
2023-11-08 12:24:08.624310+01:00,0.0,PC,cpu0
2023-11-08 12:24:14.628311+01:00,0.0,PC,cpu0
2023-11-08 12:24:20.627909+01:00,0.0,PC,cpu0
2023-11-08 12:24:26.629684+01:00,0.0,PC,cpu0
2023-11-08 12:24:32.631090+01:00,0.0,PC,cpu0
2023-11-08 12:24:38.632936+01:00,0.0,PC,cpu0
2023-11-08 12:24:44.635264+01:00,1.6,PC,cpu0
2023-11-08 12:24:50.637184+01:00,0.0,PC,cpu0
2023-11-08 12:24:56.636951+01:00,3.1,PC,cpu0
2023-11-08 12:25:02.637575+01:00,0.0,PC,cpu0
2023-11-08 12:25:08.639907+01:00,1.6,PC,cpu0
2023-11-08 12:25:14.640346+01:00,0.0,PC,cpu0
2023-11-08 12:25:20.641254+01:00,23.4,PC,cpu0
2023-11-08 12:25:26.642573+01:00,0.0,PC,cpu0
2023-11-08 12:25:32.644219+01:00,0.0,PC,cpu0
2023-11-08 12:25:38.645367+01:00,0.0,PC,cpu0
2023-11-08 12:25:44.646257+01:00,0.0,PC,cpu0
2023-11-08 12:25:50.647593+01:00,0.0,PC,cpu0
